City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
85,Hobart,AU,50.25,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
86,Linjiang,CN,68.18,overcast clouds,41.8069,126.9078,格林豪泰
88,Bluff,NZ,49.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
90,Bud,US,87.82,clear sky,39.447,-86.1758,Ted McQuinn Trust
92,Erzin,TR,69.28,clear sky,36.9559,36.2,Artemis Otel
93,Tuatapere,NZ,47.77,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
94,Shimoda,JP,71.96,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
95,Gat,IL,73.81,clear sky,31.61,34.7642,OlusHome
96,Tasiilaq,GL,35.76,light rain,65.6145,-37.6368,The Red House
98,Bilibino,RU,55.6,clear sky,68.0546,166.4372,Gostinitsa Severyanka
99,Ribeira Grande,PT,64.81,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
101,Ambilobe,MG,66.83,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
102,Keokuk,US,88.32,scattered clouds,40.3973,-91.3849,Hampton Inn Keokuk
103,Sao Filipe,CV,72.73,broken clouds,14.8961,-24.4956,Hotel Xaguate
104,Talnakh,RU,69.21,overcast clouds,69.4865,88.3972,Talnakh Hotel
106,Mahebourg,MU,73.26,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
108,Port Elizabeth,ZA,49.1,clear sky,-33.918,25.5701,39 On Nile Guest House
110,Kumluca,TR,75.94,clear sky,36.3703,30.2869,Akkol Apart
111,Makakilo City,US,79.68,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
112,Husavik,IS,47.39,overcast clouds,66.0449,-17.3389,Bjarnabúð
113,Muisne,EC,75.42,overcast clouds,0.6,-80.0333,Quinta Samay
114,Severo-Kurilsk,RU,49.77,overcast clouds,50.6789,156.125,Kak Doma
115,Olafsvik,IS,48.09,broken clouds,64.8945,-23.7142,Hotel Olafsvik
116,Benghazi,LY,74.5,clear sky,32.1167,20.0667,Tibesti Hotel
117,North Branch,US,75.27,clear sky,45.5113,-92.9802,AmericInn by Wyndham North Branch
118,Carlsbad,US,81.9,broken clouds,33.1581,-117.3506,Carlsbad Inn Beach Resort
119,Saldanha,ZA,50.79,clear sky,-33.0117,17.9442,Blue Bay Lodge
120,Senanga,ZM,54.73,clear sky,-16.1167,23.2667,Zango lodge
121,Carnarvon,AU,71.4,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
122,Baykalovo,RU,58.78,scattered clouds,57.3981,63.7684,Gostinitsa Karavan
123,Hambantota,LK,75.54,moderate rain,6.1241,81.1185,Bungalow 63
124,Turayf,SA,71.85,clear sky,31.6725,38.6637,Turaif
125,Sirjan,IR,74.73,clear sky,29.452,55.6814,MAPNA Building
126,Seoul,KR,69.37,broken clouds,37.5683,126.9778,롯데호텔 서울
127,Naze,JP,74.32,overcast clouds,28.3667,129.4833,Shishime Hotel
128,Nikolskoye,RU,55.8,few clouds,59.7035,30.7861,Tourist House - Sablino
130,Pangnirtung,CA,37.49,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
131,Khatanga,RU,64.36,scattered clouds,71.9667,102.5,"""Khatanga"""
132,Puerto Del Rosario,ES,69.55,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
133,North Bend,US,61.92,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
134,Kavaratti,IN,83.46,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
136,Kodiak,US,54.91,broken clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
138,Bengkulu,ID,76.8,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
139,Sorong,ID,81.32,few clouds,-0.8833,131.25,Waigo Splash Hotel
140,Ulladulla,AU,61.77,overcast clouds,-35.35,150.4667,Sandpiper Motel
141,Los Llanos De Aridane,ES,64.15,broken clouds,28.6585,-17.9182,Valle Aridane
142,Adeje,ES,67.32,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
143,Zambezi,ZM,54.48,clear sky,-13.5432,23.1047,Royal Kutachika Lodge
145,Chernyshevskiy,RU,69.42,overcast clouds,63.0128,112.4714,Chernyseyskiy
146,Karratha,AU,76.33,clear sky,-20.7377,116.8463,ibis Styles Karratha
147,Cortez,US,83.16,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
148,Hailar,CN,67.77,few clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
150,Pevek,RU,35.04,few clouds,69.7008,170.3133,Severnoye Zoloto
151,Thompson,CA,68.16,broken clouds,55.7435,-97.8558,Burntwood Hotel
152,Morant Bay,JM,80.22,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
153,Bucerias,MX,78.98,overcast clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
154,Puerto Ayora,EC,71.55,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
156,Ponta Do Sol,PT,68.63,few clouds,32.6667,-17.1,Hotel do Campo
157,Suez,EG,70.68,clear sky,29.9737,32.5263,Green House
158,Qaanaaq,GL,27.52,few clouds,77.484,-69.3632,Qaanaaq Hotel
159,Lebu,CL,50.67,broken clouds,-37.6167,-73.65,Hostal Las Lilas
160,Vao,NC,73.87,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
161,Moberly,US,85.98,clear sky,39.4184,-92.4382,Super 8 by Wyndham Moberly MO
163,Port Moresby,PG,85.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
164,Nuevo Progreso,MX,82.54,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
165,Bykovo,RU,56.93,clear sky,55.6361,38.0803,Around the world
168,Yulara,AU,63.45,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
169,Jacareacanga,BR,72.19,broken clouds,-6.2222,-57.7528,Casa do Ian😎
170,Volnovakha,UA,51.15,clear sky,47.601,37.4967,Oazys
171,Tiksi,RU,37.65,few clouds,71.6872,128.8694,Arktika
172,Salalah,OM,84.29,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
173,Hovd,MN,70.74,broken clouds,48.0056,91.6419,Hotel Khovd
174,Kavieng,PG,84.87,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
175,Kaitangata,NZ,48.06,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
176,Sainte-Maxime,FR,74.93,clear sky,43.3,6.6333,Hôtel Les Jardins De Sainte Maxime
177,Mumford,GH,74.1,heavy intensity rain,5.2618,-0.759,Spanish Villa
178,Codrington,AU,57.34,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
179,Mayo,US,81.01,clear sky,38.8876,-76.5119,Resorts Resource Group International
180,Coquimbo,CL,55.13,overcast clouds,-29.9533,-71.3436,Hotel San Juan
181,Durban,ZA,54.01,clear sky,-29.8579,31.0292,Hilton Durban
183,Vila Franca Do Campo,PT,64.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
184,Matay,EG,77.43,clear sky,28.419,30.7792,Nag Aespen
186,Zarubino,RU,57.67,overcast clouds,42.63,131.0922,Okean
187,Grindavik,IS,48.15,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
189,Portland,US,70.79,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
190,San,ML,88.43,overcast clouds,13.3034,-4.8956,Hôtel Teriya
191,Khash,IR,78.4,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
192,Trincomalee,LK,79.12,overcast clouds,8.5711,81.2335,Welcombe Hotel
193,Hearst,CA,71.85,clear sky,49.6835,-83.6665,Companion
194,Teahupoo,PF,78.76,light rain,-17.8333,-149.2667,Vanira Lodge
195,Antofagasta,CL,54.68,overcast clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
196,Hasaki,JP,72.28,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
197,Kudahuvadhoo,MV,83.23,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
199,Luocheng,CN,73.24,overcast clouds,29.3848,104.0286,Luocheng Hotel
200,Santa Maria,BR,51.1,clear sky,-29.6842,-53.8069,Hotel Morotin
201,Carauari,BR,71.92,few clouds,-4.8828,-66.8958,Hotel Fellip
202,Belyy Yar,RU,67.89,clear sky,53.6039,91.3903,Pasportnyy Stol
203,Richards Bay,ZA,55.74,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
204,Jalu,LY,75.52,clear sky,29.0331,21.5482,صاحبة الفخامة
205,Eyl,SO,78.12,overcast clouds,7.9803,49.8164,Amiin Hotel
206,San Cristobal,VE,65.26,overcast clouds,7.7669,-72.225,Pirineos
207,Bubaque,GW,79.99,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
208,Kurchum,KZ,62.17,clear sky,48.5722,83.6542,"Gostinitsa ""Kneda"""
209,Aire-Sur-La-Lys,FR,59.83,clear sky,50.6387,2.3988,Château de Moulin le Comte
210,New Norfolk,AU,49.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
211,Kelvington,CA,56.1,scattered clouds,52.1667,-103.5343,Sportsman Motel
212,Flinders,AU,64.18,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
213,Vrangel,RU,58.75,overcast clouds,42.7297,133.0839,"Отель ""БАЛИ"""
214,Salta,AR,50.59,clear sky,-24.7859,-65.4117,Hotel Alejandro I
215,Praia Da Vitoria,PT,64.65,broken clouds,38.7333,-27.0667,Hotel Branco I
216,Kruisfontein,ZA,46.89,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
217,Nenjiang,CN,63.36,overcast clouds,49.1833,125.2167,Nenjiang Apartment
218,Arraial Do Cabo,BR,68.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
219,Padang,ID,78.85,broken clouds,-0.9492,100.3543,Mercure Padang
220,Juegang,CN,83.91,broken clouds,32.3174,121.1855,Rudong Y Hotel
221,Hoa Binh,VN,79.93,moderate rain,20.8133,105.3383,Hoa Dao Hotel
222,Gull Lake,CA,51.58,overcast clouds,50.1001,-108.4847,Campbell's Accommodations
223,Lixourion,GR,72.57,scattered clouds,38.2019,20.4314,Hotel Summery
225,Narsaq,GL,48.42,clear sky,60.9167,-46.05,Sleep In Narsaq
226,Granja,BR,70.68,scattered clouds,-3.1203,-40.8261,Pousada Casa Grande
227,Lasa,IT,63.48,clear sky,46.6166,10.7002,Pension Feldgärtenhof
228,Fortuna,US,63.93,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
230,Atasu,KZ,61.66,few clouds,48.6814,71.6433,Dostyk
231,Lovozero,RU,47.53,overcast clouds,68.005,35.0117,Country house Lovozero
233,Pineville,US,89.49,clear sky,31.3224,-92.4343,"Country Inn & Suites by Radisson, Pineville, LA"
234,Starosubkhangulovo,RU,54.86,clear sky,53.1031,57.4423,"Gostinichnyy Kompleks ""Yulbars"""
237,Clyde River,CA,32.23,light snow,70.4692,-68.5914,Qamaq Hotel
238,Ahipara,NZ,61.23,clear sky,-35.1667,173.1667,Ahipara Holiday Park
240,Marawi,PH,78.93,scattered clouds,7.9986,124.2928,Derogongan Residence
241,Isabela,PH,87.85,overcast clouds,6.7085,121.9711,Isawad Resort
