,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Garowe,SO,8.4054,48.4845,76.5,62,39,22.24,scattered clouds
80,Cape Town,ZA,-33.9258,18.4232,56.37,79,0,4.61,clear sky
81,Tres Lagoas,BR,-20.7511,-51.6783,67.75,70,0,6.06,clear sky
82,Bereda,ES,43.2686,-7.5406,64.74,88,100,4.68,overcast clouds
83,Merauke,ID,-8.4667,140.3333,83.32,74,36,12.66,scattered clouds
84,Bayan,CN,46.0833,127.4,72.1,69,48,12.77,scattered clouds
85,Hobart,AU,-42.8794,147.3294,50.25,92,40,8.05,scattered clouds
86,Linjiang,CN,41.8069,126.9078,68.18,78,97,2.3,overcast clouds
87,Micheweni,TZ,-4.9667,39.8333,75.63,84,23,7.52,few clouds
88,Bluff,NZ,-46.6,168.3333,49.8,79,97,20.29,overcast clouds
89,Tacuati,PY,-23.45,-56.5833,64.81,73,0,4.52,clear sky
90,Bud,US,39.447,-86.1758,87.82,71,5,8.19,clear sky
91,Monterey,US,36.2505,-121.2516,89.19,15,0,15.43,clear sky
92,Erzin,TR,36.9559,36.2,69.28,88,3,1.05,clear sky
93,Tuatapere,NZ,-46.1333,167.6833,47.77,91,100,8.84,overcast clouds
94,Shimoda,JP,34.6667,138.95,71.96,85,100,15.08,overcast clouds
95,Gat,IL,31.61,34.7642,73.81,100,0,4.88,clear sky
96,Tasiilaq,GL,65.6145,-37.6368,35.76,96,100,9.86,light rain
97,Hami,CN,42.8,93.45,92.98,15,1,10.25,clear sky
98,Bilibino,RU,68.0546,166.4372,55.6,28,1,4.38,clear sky
99,Ribeira Grande,PT,38.5167,-28.7,64.81,91,36,4.0,scattered clouds
100,Siguiri,GN,11.6667,-9.5,81.03,59,100,4.05,overcast clouds
101,Ambilobe,MG,-13.2,49.05,66.83,93,1,3.76,clear sky
102,Keokuk,US,40.3973,-91.3849,88.32,66,40,10.36,scattered clouds
103,Sao Filipe,CV,14.8961,-24.4956,72.73,86,71,6.2,broken clouds
104,Talnakh,RU,69.4865,88.3972,69.21,44,100,5.97,overcast clouds
105,Yaan,NG,7.3833,8.5667,74.08,91,100,7.0,moderate rain
106,Mahebourg,MU,-20.4081,57.7,73.26,73,20,12.66,few clouds
107,Luderitz,NA,-26.6481,15.1594,62.17,36,0,17.36,clear sky
108,Port Elizabeth,ZA,-33.918,25.5701,49.1,80,0,12.66,clear sky
109,Airai,TL,-8.9266,125.4092,67.59,64,77,5.46,broken clouds
110,Kumluca,TR,36.3703,30.2869,75.94,65,5,3.15,clear sky
111,Makakilo City,US,21.3469,-158.0858,79.68,69,100,11.5,light rain
112,Husavik,IS,66.0449,-17.3389,47.39,89,100,5.32,overcast clouds
113,Muisne,EC,0.6,-80.0333,75.42,84,100,10.11,overcast clouds
114,Severo-Kurilsk,RU,50.6789,156.125,49.77,79,99,9.8,overcast clouds
115,Olafsvik,IS,64.8945,-23.7142,48.09,72,67,16.82,broken clouds
116,Benghazi,LY,32.1167,20.0667,74.5,74,0,9.04,clear sky
117,North Branch,US,45.5113,-92.9802,75.27,86,0,8.81,clear sky
118,Carlsbad,US,33.1581,-117.3506,81.9,77,75,9.22,broken clouds
119,Saldanha,ZA,-33.0117,17.9442,50.79,72,4,8.34,clear sky
120,Senanga,ZM,-16.1167,23.2667,54.73,54,0,5.77,clear sky
